predict,Days,start station name,bikes,Month,DayOfWeek,residual
1.1174084578927401,16230,Fulton St & Rockwell Pl,1,6,Sun,-0.11740845789274013
1.1325777913931154,16231,E 31 St & 3 Ave,1,6,Mon,-0.13257779139311543
1.140735099611486,16231,Liberty St & Broadway,1,6,Mon,-0.140735099611486
1.1719140100007537,16231,MacDougal St & Washington Sq,1,6,Mon,-0.17191401000075368
1.2067908995974204,16231,South End Ave & Liberty St,1,6,Mon,-0.20679089959742036
1.082459256344775,16231,Stanton St & Chrystie St,1,6,Mon,-0.08245925634477502
1.1091042880966766,16232,Franklin St & W Broadway,1,6,Tue,-0.1091042880966766
1.0859916617488043,16232,Grand St & Greene St,2,6,Tue,0.9140083382511957
1.0973395056047286,16232,Henry St & Atlantic Ave,1,6,Tue,-0.0973395056047286
1.2453913570319952,16233,12 Ave & W 40 St,1,6,Wed,-0.24539135703199522
1.0531069623147156,16233,9 Ave & W 18 St,1,6,Wed,-0.05310696231471557
1.2602637838346056,16233,Broadway & W 60 St,1,6,Wed,-0.2602637838346056
1.183737452066271,16233,E 12 St & 3 Ave,1,6,Wed,-0.1837374520662709
1.1179051295548923,16233,E 25 St & 1 Ave,1,6,Wed,-0.1179051295548923
1.1929356568546092,16233,E 47 St & Park Ave,1,6,Wed,-0.19293565685460923
1.120406387243127,16233,Mercer St & Spring St,1,6,Wed,-0.12040638724312691
1.1425217781889763,16233,Stanton St & Mangin St,1,6,Wed,-0.14252177818897627
1.072473263528637,16233,Suffolk St & Stanton St,1,6,Wed,-0.07247326352863692
1.2503357195373628,16233,University Pl & E 14 St,2,6,Wed,0.7496642804626372
1.2004531947583674,16233,W 24 St & 7 Ave,1,6,Wed,-0.20045319475836743
1.2346873143959463,16233,W 4 St & 7 Ave S,1,6,Wed,-0.23468731439594626
1.1118569233647075,16234,1 Ave & E 18 St,1,6,Thu,-0.11185692336470754
1.377898851600588,16234,Broadway & E 14 St,1,6,Thu,-0.3778988516005879
1.1857366402450709,16234,Carmine St & 6 Ave,1,6,Thu,-0.18573664024507086
1.0379827140085334,16234,Clinton St & Joralemon St,1,6,Thu,-0.03798271400853337
1.0910582117912953,16234,E 48 St & 3 Ave,1,6,Thu,-0.09105821179129525
1.1049268195742268,16234,Front St & Washington St,1,6,Thu,-0.10492681957422678
1.0753994833498361,16234,Suffolk St & Stanton St,1,6,Thu,-0.07539948334983615
1.2537472331760575,16234,University Pl & E 14 St,2,6,Thu,0.7462527668239425
1.2506389640827364,16234,W Houston St & Hudson St,1,6,Thu,-0.25063896408273645
1.1491212358347227,16235,9 Ave & W 45 St,1,6,Fri,-0.1491212358347227
1.0509130741542854,16235,Cumberland St & Lafayette Ave,1,6,Fri,-0.050913074154285365
1.0882401382801696,16235,E 11 St & Broadway,1,6,Fri,-0.08824013828016963
1.1920802473499883,16235,E 2 St & Avenue B,1,6,Fri,-0.1920802473499883
1.0803536232488404,16235,E 27 St & 1 Ave,2,6,Fri,0.9196463767511596
1.1213242663705985,16235,Fulton St & Grand Ave,2,6,Fri,0.8786757336294015
1.0347483286400567,16235,Rivington St & Chrystie St,1,6,Fri,-0.034748328640056725
1.0975093320879412,16235,South St & Gouverneur Ln,1,6,Fri,-0.09750933208794121
1.0788780882212214,16235,Suffolk St & Stanton St,1,6,Fri,-0.07887808822122144
1.097744039570733,16235,W 27 St & 7 Ave,1,6,Fri,-0.09774403957073297
1.169957868012885,16236,1 Ave & E 15 St,1,6,Sat,-0.16995786801288504
1.1542829483067876,16236,9 Ave & W 22 St,1,6,Sat,-0.15428294830678757
1.000876553383191,16236,Catherine St & Monroe St,1,6,Sat,-0.0008765533831909256
1.1786332668693722,16236,E 16 St & 5 Ave,1,6,Sat,-0.1786332668693722
0.9775470955366906,16236,E 55 St & Lexington Ave,2,6,Sat,1.0224529044633095
1.0382494108466178,16236,Pike St & E Broadway,1,6,Sat,-0.038249410846617815
1.100223575140614,16236,Spruce St & Nassau St,1,6,Sat,-0.10022357514061397
1.0904851077942332,16236,St Marks Pl & 1 Ave,1,6,Sat,-0.09048510779423324
1.1984251230341372,16236,W 39 St & 9 Ave,1,6,Sat,-0.19842512303413717
1.07827762650647,16236,W 42 St & 8 Ave,1,6,Sat,-0.07827762650646997
1.1302076624856146,16237,11 Ave & W 41 St,2,6,Sun,0.8697923375143854
1.2040582730019809,16237,11 Ave & W 59 St,1,6,Sun,-0.20405827300198087
1.0786617053449472,16237,E 51 St & 1 Ave,1,6,Sun,-0.07866170534494721
1.04723669656201,16237,Franklin Ave & Myrtle Ave,1,6,Sun,-0.047236696562009906
1.0274709639549326,16237,Market St & Cherry St,1,6,Sun,-0.027470963954932648
1.0234656373800273,16237,S 4 St & Wythe Ave,1,6,Sun,-0.02346563738002727
1.08647154650667,16237,S 5 Pl & S 4 St,1,6,Sun,-0.0864715465066701
1.1469980492270755,16238,10 Ave & W 28 St,1,6,Mon,-0.1469980492270755
1.1726843926551531,16238,2 Ave & E 31 St,1,6,Mon,-0.17268439265515312
1.386339845075358,16238,8 Ave & W 31 St,1,6,Mon,-0.3863398450753579
1.2002519508066976,16238,8 Ave & W 33 St,1,6,Mon,-0.20025195080669755
1.1480122814471674,16238,Allen St & E Houston St,1,6,Mon,-0.14801228144716738
1.0624253553413299,16238,Duane St & Greenwich St,1,6,Mon,-0.06242535534132987
1.1474532812462654,16238,Henry St & Grand St,1,6,Mon,-0.14745328124626544
1.1625770871868704,16238,Lexington Ave & E 24 St,1,6,Mon,-0.16257708718687036
1.0933172503132078,16238,S 5 Pl & S 4 St,2,6,Mon,0.9066827496867922
1.0630025927733302,16238,W 14 St & The High Line,1,6,Mon,-0.0630025927733302
1.3306527283431882,16238,W 21 St & 6 Ave,1,6,Mon,-0.33065272834318815
1.160142954647342,16239,Allen St & E Houston St,1,6,Tue,-0.16014295464734207
1.3456877816360269,16239,Broadway & E 22 St,2,6,Tue,0.6543122183639731
1.2185736136693803,16239,E 32 St & Park Ave,1,6,Tue,-0.21857361366938033
1.1256898611528052,16239,E 39 St & 3 Ave,2,6,Tue,0.8743101388471948
1.1528967007508717,16239,E 58 St & 3 Ave,1,6,Tue,-0.1528967007508717
1.1288107731887311,16239,Madison St & Montgomery St,1,6,Tue,-0.12881077318873113
1.1495893637854107,16239,W 20 St & 8 Ave,1,6,Tue,-0.14958936378541066
1.2224385501540012,16239,W 38 St & 8 Ave,1,6,Tue,-0.22243855015400116
1.0323340695381844,16240,Broadway & Berry St,1,6,Wed,-0.03233406953818441
1.2453570042673283,16240,Broadway & W 58 St,1,6,Wed,-0.24535700426732832
1.1059787624299726,16240,Columbia St & Rivington St,1,6,Wed,-0.10597876242997262
1.0611878050544985,16240,Duane St & Greenwich St,1,6,Wed,-0.0611878050544985
1.0945950194419676,16240,E 43 St & 2 Ave,1,6,Wed,-0.09459501944196758
1.1354134878177788,16240,LaGuardia Pl & W 3 St,1,6,Wed,-0.13541348781777884
1.367848017411702,16240,Lafayette St & E 8 St,1,6,Wed,-0.36784801741170203
1.056455322859103,16240,Lispenard St & Broadway,1,6,Wed,-0.05645532285910293
1.2552389673649236,16240,Pearl St & Anchorage Pl,1,6,Wed,-0.2552389673649236
1.329102737412197,16240,W 21 St & 6 Ave,2,6,Wed,0.6708972625878029
1.1208776401153517,16240,W 29 St & 9 Ave,1,6,Wed,-0.12087764011535174
1.1981164185764897,16240,W 45 St & 8 Ave,2,6,Wed,0.8018835814235103
1.158488436657263,16241,E 15 St & 3 Ave,2,6,Thu,0.841511563342737
1.0324600259478016,16241,Front St & Gold St,1,6,Thu,-0.03246002594780162
1.0282950896490815,16241,Hicks St & Montague St,1,6,Thu,-0.02829508964908145
1.123642776605613,16241,Mercer St & Spring St,1,6,Thu,-0.12364277660561296
1.0345650698579185,16241,Pitt St & Stanton St,1,6,Thu,-0.03456506985791852
1.2194945203453345,16241,W 31 St & 7 Ave,2,6,Thu,0.7805054796546655
1.0837147741100732,16241,W 46 St & 11 Ave,1,6,Thu,-0.08371477411007322
1.0771618913381154,16241,Washington Square E,1,6,Thu,-0.07716189133811535
1.1095503537539892,16242,Canal St & Rutgers St,1,6,Fri,-0.10955035375398925
1.0610823928121633,16242,Clinton St & Tillary St,1,6,Fri,-0.06108239281216332
1.1301117429905185,16242,E 53 St & Madison Ave,1,6,Fri,-0.13011174299051853
1.3760168240901982,16242,Lafayette St & E 8 St,1,6,Fri,-0.3760168240901982
1.208991067486236,16242,Little West St & 1 Pl,2,6,Fri,0.7910089325137639
1.0985654157617202,16242,S 5 Pl & S 4 St,1,6,Fri,-0.09856541576172018
1.2244614660742692,16242,Shevchenko Pl & E 7 St,1,6,Fri,-0.2244614660742692
1.2548847550765225,16242,W Houston St & Hudson St,3,6,Fri,1.7451152449234775
1.0806461970872752,16242,Washington Square E,1,6,Fri,-0.08064619708727516
1.1072495878872555,16243,9 Ave & W 45 St,1,6,Sat,-0.10724958788725547
1.1113135109773662,16243,Allen St & E Houston St,1,6,Sat,-0.11131351097736619
0.9971381426594742,16243,Atlantic Ave & Fort Greene Pl,1,6,Sat,0.0028618573405257974
1.061375896949136,16243,Cliff St & Fulton St,1,6,Sat,-0.06137589694913603
1.1474161644916672,16243,E 12 St & 3 Ave,1,6,Sat,-0.14741616449166717
1.2537396205461384,16243,E 17 St & Broadway,1,6,Sat,-0.2537396205461384
1.0867685607584952,16243,E 7 St & Avenue A,1,6,Sat,-0.08676856075849515
1.0942870110762302,16243,W 15 St & 7 Ave,2,6,Sat,0.9057129889237698
1.1838402567045692,16243,W 20 St & 11 Ave,2,6,Sat,0.8161597432954308
1.192927131396608,16244,8 Ave & W 33 St,1,6,Sun,-0.1929271313966081
1.090983660014506,16244,Franklin St & W Broadway,1,6,Sun,-0.09098366001450597
1.3610858441358646,16244,Lafayette St & E 8 St,2,6,Sun,0.6389141558641354
1.0236838358525717,16244,Rivington St & Chrystie St,1,6,Sun,-0.023683835852571722
1.2154708266851804,16244,W 20 St & 11 Ave,1,6,Sun,-0.21547082668518036
1.2059813617424893,16245,1 Ave & E 30 St,1,6,Mon,-0.20598136174248927
1.247241926852067,16245,12 Ave & W 40 St,1,6,Mon,-0.24724192685206692
1.1728716369078258,16245,2 Ave & E 31 St,1,6,Mon,-0.1728716369078258
1.1302224732226918,16245,6 Ave & Canal St,2,6,Mon,0.8697775267773082
1.2004435968121834,16245,8 Ave & W 33 St,2,6,Mon,0.7995564031878166
1.3761914107240745,16245,Broadway & E 14 St,1,6,Mon,-0.37619141072407447
1.226495358110737,16245,Christopher St & Greenwich St,3,6,Mon,1.773504641889263
1.1854964082299806,16245,E 12 St & 3 Ave,1,6,Mon,-0.1854964082299806
1.186764228493976,16245,E 2 St & Avenue B,1,6,Mon,-0.1867642284939759
1.2105387586514744,16245,E 23 St & 1 Ave,1,6,Mon,-0.21053875865147442
1.1386556374192556,16245,E 3 St & 1 Ave,1,6,Mon,-0.13865563741925557
1.1172145458444438,16245,Jay St & Tech Pl,1,6,Mon,-0.1172145458444438
1.1635333606529492,16245,St Marks Pl & 2 Ave,1,6,Mon,-0.1635333606529492
1.2637898220551418,16245,Vesey Pl & River Terrace,1,6,Mon,-0.2637898220551418
1.1227975210624221,16245,W 45 St & 6 Ave,1,6,Mon,-0.12279752106242214
1.1230066595056387,16246,Broadway & W 49 St,1,6,Tue,-0.12300665950563872
1.0327476224964323,16246,Clark St & Henry St,1,6,Tue,-0.03274762249643226
1.0579511868591314,16246,E 30 St & Park Ave S,1,6,Tue,-0.057951186859131365
1.0971030330716594,16246,E 51 St & 1 Ave,1,6,Tue,-0.09710303307165935
1.129328670443395,16246,FDR Drive & E 35 St,1,6,Tue,-0.1293286704433949
1.1146325632078924,16246,Fulton St & Waverly Ave,1,6,Tue,-0.11463256320789239
1.2817202334967819,16246,Greenwich St & Warren St,1,6,Tue,-0.2817202334967819
1.1030610475228462,16246,Murray St & West St,1,6,Tue,-0.10306104752284617
1.0942466082788973,16246,Stanton St & Chrystie St,1,6,Tue,-0.0942466082788973
1.2654251601219095,16246,University Pl & E 14 St,1,6,Tue,-0.26542516012190953
1.1346617580728529,16246,W 45 St & 6 Ave,1,6,Tue,-0.13466175807285286
1.2622879393081463,16246,W Houston St & Hudson St,1,6,Tue,-0.2622879393081463
1.1569795635198559,16247,Barclay St & Church St,1,6,Wed,-0.15697956351985587
1.0755652108302778,16247,Broadway & W 55 St,1,6,Wed,-0.07556521083027778
1.2250666933348104,16247,Christopher St & Greenwich St,2,6,Wed,0.7749333066651896
1.0742830215249852,16247,E 27 St & 1 Ave,1,6,Wed,-0.07428302152498523
1.120483393712908,16247,E 4 St & 2 Ave,1,6,Wed,-0.12048339371290795
1.3680664237292026,16247,Lafayette St & E 8 St,2,6,Wed,0.6319335762707974
1.2429495877210914,16247,South St & Whitehall St,1,6,Wed,-0.24294958772109143
1.221914865461608,16247,W 13 St & 7 Ave,1,6,Wed,-0.2219148654616081
1.3048795179081538,16247,West St & Chambers St,1,6,Wed,-0.3048795179081538
1.0377786037537677,16247,Willoughby Ave & Hall St,1,6,Wed,-0.03777860375376774
1.0398049158164357,16247,Willoughby Ave & Walworth St,1,6,Wed,-0.03980491581643575
1.0763136668067663,16247,York St & Jay St,1,6,Wed,-0.07631366680676632
1.2491882040210156,16248,12 Ave & W 40 St,1,6,Thu,-0.2491882040210156
1.2833932070868062,16248,Broadway & W 36 St,1,6,Thu,-0.28339320708680615
1.1497886511788509,16248,E 39 St & 2 Ave,1,6,Thu,-0.14978865117885087
1.2023271232667383,16248,Elizabeth St & Hester St,1,6,Thu,-0.2023271232667383
1.2541476404931207,16248,University Pl & E 14 St,1,6,Thu,-0.25414764049312066
1.265761921632666,16248,Vesey Pl & River Terrace,2,6,Thu,0.7342380783673339
1.124549607112088,16248,W 45 St & 6 Ave,2,6,Thu,0.875450392887912
1.1494882289086419,16249,9 Ave & W 45 St,1,6,Fri,-0.14948822890864188
1.0973720577372517,16249,Bond St & Schermerhorn St,1,6,Fri,-0.09737205773725166
1.067695686171916,16249,Duane St & Greenwich St,1,6,Fri,-0.06769568617191601
1.1911870540944138,16249,E 12 St & 3 Ave,1,6,Fri,-0.19118705409441383
1.09344264444171,16249,E 20 St & 2 Ave,1,6,Fri,-0.09344264444171002
1.031786045996974,16249,Hicks St & Montague St,1,6,Fri,-0.0317860459969741
1.2374435380727384,16249,MacDougal St & Prince St,1,6,Fri,-0.23744353807273844
1.0680469068113463,16249,W 26 St & 10 Ave,1,6,Fri,-0.06804690681134629
1.0401363991859,16249,Willoughby St & Fleet St,1,6,Fri,-0.04013639918590006
1.0481906865444428,16250,Stanton St & Chrystie St,1,6,Sat,-0.04819068654444281
1.2141783700489166,16250,W 17 St & 8 Ave,2,6,Sat,0.7858216299510834
1.1115053978944136,16250,W 52 St & 11 Ave,2,6,Sat,0.8884946021055864
0.9954955039824237,16250,Wythe Ave & Metropolitan Ave,1,6,Sat,0.004504496017576298
1.1260254716359095,16251,E 31 St & 3 Ave,1,6,Sun,-0.1260254716359095
1.198664467630514,16251,E 32 St & Park Ave,1,6,Sun,-0.19866446763051404
1.0950465350344503,16251,St James Pl & Oliver St,1,6,Sun,-0.09504653503445026
1.1684388376094423,16251,W 22 St & 10 Ave,1,6,Sun,-0.16843883760944234
1.168251759089141,16251,W 26 St & 8 Ave,1,6,Sun,-0.16825175908914103
1.129980788346238,16251,Washington Ave & Greene Ave,1,6,Sun,-0.12998078834623805
1.0690909215458209,16251,Washington Square E,1,6,Sun,-0.06909092154582086
1.1390690206257172,16252,8 Ave & W 52 St,3,6,Mon,1.8609309793742828
1.2794977590303902,16252,E 24 St & Park Ave S,2,6,Mon,0.7205022409696098
1.1481805442697792,16252,E 39 St & 2 Ave,1,6,Mon,-0.14818054426977922
1.0955287697975826,16252,E 40 St & 5 Ave,1,6,Mon,-0.09552876979758262
1.56268509475293,16252,E 42 St & Vanderbilt Ave,1,6,Mon,-0.56268509475293
1.0892006830244931,16252,E 45 St & 3 Ave,1,6,Mon,-0.08920068302449313
1.027020864718024,16252,Hicks St & Montague St,1,6,Mon,-0.027020864718023896
1.141281615450483,16252,Liberty St & Broadway,4,6,Mon,2.858718384549517
1.2215116501045882,16252,Mercer St & Bleecker St,1,6,Mon,-0.22151165010458818
1.144402189785962,16252,Stanton St & Mangin St,1,6,Mon,-0.14440218978596198
